Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross
5293,1915-08-02,The Birth of a Nation,110000,11000000,10000000
5140,1916-05-09,Intolerance,385907,0,0
5230,1916-12-24,"20,000 Leagues Under the Sea",200000,8000000,8000000
5299,1920-09-17,Over the Hill to the Poorhouse,100000,3000000,3000000
5222,1925-01-01,The Big Parade,245000,22000000,11000000
4250,1925-12-30,Ben-Hur,3900000,9000000,9000000
4630,1927-12-08,Wings,2000000,0,0
5141,1929-01-02,The Broadway Melody,379000,4358000,2800000
4240,1930-01-01,Hell's Angels,4000000,0,0
5043,1931-12-31,Mata Hari,558000,900000,900000
5017,1933-07-04,King Kong,672000,10000650,10000000
5234,1933-09-02,She Done Him Wrong,200000,2000000,2000000
5120,1933-09-03,42nd Street,439000,2281000,1438000
5154,1934-01-01,It Happened One Night,325000,2500000,2500000
5025,1935-06-09,Top Hat,609000,3202000,1782000
4738,1936-05-02,Modern Times,1500000,165049,163245
4768,1936-06-26,San Francisco,1300000,5273000,2868000
4814,1936-10-20,"Charge of the Light Brigade, The",1200000,0,0
4756,1937-12-21,Snow White and the Seven Dwarfs,1488000,184925485,184925485
4570,1938-01-01,Alexander's Ragtime Band,2000000,4000000,4000000
4693,1938-01-01,You Can't Take It With You,1644000,4000000,4000000
4712,1939-01-01,Mr. Smith Goes To Washington,1500000,9000000,9000000
4447,1939-08-25,The Wizard of Oz,2777000,33754967,33711566
4248,1939-12-15,Gone with the Wind,3900000,390525192,198680470
4556,1940-01-01,Boom Town,2000000,9172000,9172000
4783,1940-01-01,Rebecca,1288000,6000000,6000000
4524,1940-11-13,Fantasia,2280000,83320000,83320000
4789,1941-10-28,How Green Was My Valley,1250000,0,0
4969,1942-08-13,Bambi,858000,268000000,102797000
5283,1942-11-16,Cat People,134000,8000000,4000000
4839,1943-01-23,Casablanca,1039000,10462500,10462500
4457,1943-12-24,A Guy Named Joe,2627000,5363000,5363000
4515,1944-01-01,Bathing Beauty,2361000,3500000,3500000
3949,1944-01-08,Wilson,5200000,2000000,2000000
4530,1945-01-01,The Valley of Decision,2160000,9132000,9132000
4785,1945-01-01,The Lost Weekend,1250000,11000000,11000000
4716,1945-10-31,Spellbound,1500000,7000000,7000000
4327,1946-01-01,It's a Wonderful Life,3180000,9576159,6600000
4545,1946-01-01,Notorious,2000000,24464742,24464742
4533,1946-11-21,The Best Years of Our Lives,2100000,23600000,23600000
3845,1946-12-31,Duel in the Sun,6000000,20400000,20400000
4557,1947-01-01,Gentleman's Agreement,2000000,7800000,7800000
4260,1948-01-01,The Pirate,3700000,2956000,2956000
4361,1948-01-01,Red River,3000000,9012000,9012000
4695,1949-01-01,She Wore a Yellow Ribbon,1600000,5400000,5400000
4857,1949-01-01,Sands of Iwo Jima,1000000,7800000,7800000
4434,1950-02-15,Cinderella,2900000,263591415,85000000
4255,1950-05-17,Annie Get Your Gun,3768785,8000000,8000000
3593,1951-02-23,Quo Vadis?,8250000,30022000,30000000
4797,1951-03-07,Strangers on a Train,1200000,7000000,7000000
4419,1951-07-28,Alice in Wonderland,3000000,0,0
4666,1951-09-18,A Streetcar Named Desire,1800000,8000000,8000000
4517,1951-09-24,Show Boat,2300000,11000000,11000000
5009,1952-01-01,High Noon,730000,8000000,8000000
4166,1952-10-01,The Greatest Show on Earth,4000000,36000000,36000000
4468,1952-10-04,Singin' in the Rain,2540000,7200000,7200000
4788,1953-01-21,Niagara,1250000,2500000,2500000
4162,1953-05-02,Peter Pan,4000000,87400000,87400000
4692,1953-05-08,From Here to Eternity,1650000,30500000,30500000
5227,1953-06-13,"The Beast from 20,000 Fathoms",210000,5000000,5000000
3969,1953-09-16,The Robe,5000000,36000000,36000000
5018,1953-10-04,House of Wax,658000,23800000,23800000
3999,1954-01-01,The Egyptian,5000000,15000000,15000000
4959,1954-07-28,On the Waterfront,910000,9600000,9600000
3973,1954-12-23,"20,000 Leagues Under the Sea",5000000,28200000,28200000
4798,1955-03-10,The Trouble With Harry,1200000,7000000,7000000
4705,1955-12-31,The King’s Thief,1577000,0,0
3853,1956-01-01,War and Peace,6000000,12500000,12500000
4119,1956-01-01,Moby Dick,4500000,10400000,10400000
4177,1956-01-01,Trapeze,4000000,14400000,14400000
4856,1956-01-01,Love Me Tender,1000000,9000000,9000000
4310,1956-02-16,Carousel,3380000,3220,0
3020,1956-05-10,The Ten Commandments,13500000,80000000,80000000
3835,1956-10-17,Around the World in 80 Days,6000000,42000000,42000000
5067,1956-11-19,Shichinin no samurai,500000,271736,271736
4455,1956-12-01,Diane,2660000,0,0
4804,1956-12-23,The Wrong Man,1200000,2000000,2000000
4015,1957-01-01,A Farewell To Arms,5000000,11014685,11000000
5152,1957-04-13,12 Angry Men,340000,0,0
4337,1957-12-18,The Bridge on the River Kwai,3000000,33300000,33300000
4348,1958-09-20,Cat on a Hot Tin Roof,3000000,17570324,17570324
4016,1959-01-01,Solomon and Sheba,5000000,11000000,11000000
4274,1959-01-01,The Nun's Story,3500000,12800000,12800000
4440,1959-03-29,Some Like it Hot,2883848,25000000,25000000
2802,1959-11-18,Ben-Hur,15000000,73000000,73000000
4171,1960-01-01,Exodus,4000000,21750000,21750000
4347,1960-01-01,The Apartment,3000000,24600000,18600000
4357,1960-01-01,Elmer Gantry,3000000,10400000,10400000
3151,1960-07-10,Spartacus,12000000,60000000,30000000
3185,1960-10-24,The Alamo,12000000,7900000,7900000
4189,1961-01-01,The Misfits,4000000,8200000,8200000
4359,1961-01-01,Judgment at Nuremberg,3000000,10000000,10000000
4436,1961-01-01,Pocketful of Miracles,2900000,5000000,5000000
4558,1961-09-25,The Hustler,2000000,7600000,7600000
3834,1961-10-18,West Side Story,6000000,43700000,43700000
4322,1962-01-01,The Man Who Shot Liberty Valance,3200000,8000000,8000000
4555,1962-01-01,Lolita,2000000,9250000,9250000
3320,1962-04-10,The Longest Day,10000000,50100000,39100000
2546,1962-08-11,Mutiny on The Bounty,19000000,13680000,13680000
4122,1962-09-03,State Fair,4500000,3500000,3500000
2827,1962-12-16,Lawrence of Arabia,15000000,69995385,37495385
4550,1962-12-25,To Kill A Mockingbird,2000000,13129846,13129846
2698,1963-01-01,55 Days at Peking,17000000,10000000,10000000
4454,1963-01-01,Donovan's Reef,2686000,6600000,6600000
4478,1963-05-29,Hud,2500000,10000000,10000000
4842,1963-07-10,Tom Jones,1000000,37600000,37600000
3501,1963-07-11,It's a Mad Mad Mad Mad World,9400000,60000000,46300000
4849,1963-08-05,Dr. No,1000000,59567035,16067035
4181,1963-08-08,The Great Escape,4000000,11744471,11744471
1253,1963-12-06,Cleopatra,42000000,71000000,57000000
2552,1964-01-01,The Fall of the Roman Empire,19000000,4750000,4750000
4664,1964-01-29,Dr. Strangelove,1800000,9164370,9164370
4543,1964-08-04,From Russia With Love,2000000,78900000,24800000
3832,1964-08-26,Mary Poppins,6000000,102300000,102300000
2670,1964-10-22,My Fair Lady,17000000,72070955,72000000
5040,1964-11-08,A Hard Day's Night,560000,1597233,1537860
4334,1964-12-22,Goldfinger,3000000,124900000,51100000
3594,1965-02-03,The Sound of Music,8200000,286214286,163214286
2425,1965-02-15,The Greatest Story Ever Told,20000000,15473333,15473333
3907,1965-07-03,The Train,5800000,6800000,6800000
4254,1965-07-04,Major Dundee,3800000,14873,14873
3241,1965-12-22,Doctor Zhivago,11000000,111859493,111721000
3514,1965-12-29,Thunderball,9000000,141200000,63600000
4276,1966-02-23,Harper,3500000,12000000,12000000
4354,1966-07-16,Torn Curtain,3000000,13000000,13000000
2831,1966-10-10,Hawaii,15000000,34562222,34562222
4249,1966-12-12,A Man for All Seasons,3900000,28350000,28350000
4273,1967-01-01,In Cold Blood,3500000,13007551,13000000
