,Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Decade
153,2159,1970-01-01,Waterloo,25000000,0,0,1970
154,2270,1970-01-01,Darling Lili,22000000,5000000,5000000,1970
155,3136,1970-01-01,Patton,12000000,62500000,62500000,1970
156,3277,1970-01-01,The Molly Maguires,11000000,2200000,2200000,1970
157,4265,1970-01-01,M*A*S*H,3500000,81600000,81600000,1970
158,4855,1970-01-01,Beyond the Valley of the Dolls,1000000,9000000,9000000,1970
159,5027,1970-03-26,Woodstock,600000,34505110,34505110,1970
160,4259,1970-05-13,The Ballad of Cable Hogue,3716946,5000000,3500000,1970
161,4349,1970-05-26,Beneath the Planet of the Apes,3000000,17489009,17489009,1970
162,2598,1970-06-24,Catch-22,18000000,24911670,24911670,1970
163,2076,1970-09-23,"Tora, Tora, Tora",25000000,29548291,29548291,1970
164,3512,1971-01-01,Fiddler on the Roof,9000000,80500000,80500000,1970
165,3809,1971-01-01,The Andromeda Strain,6500000,12376563,12376563,1970
166,4477,1971-01-01,Escape from the Planet of the Apes,2500000,12300000,12300000,1970
167,5270,1971-01-01,Sweet Sweetback's Baad Asssss Song,150000,15200000,15200000,1970
168,4626,1971-04-28,Bananas,2000000,0,0,1970
169,4379,1971-06-30,Willy Wonka & the Chocolate Factory,3000000,4000000,4000000,1970
170,4526,1971-09-10,The French Connection,2200000,41158757,41158757,1970
171,3705,1971-12-17,Diamonds Are Forever,7200000,116000000,43800000,1970
172,4686,1972-01-01,Conquest of the Planet of the Apes,1700000,9700000,9700000,1970
173,3709,1972-03-15,The Godfather,7000000,268500000,134966411,1970
174,4275,1972-06-21,Frenzy,3500000,12600000,12600000,1970
175,5356,1972-06-30,Deep Throat,25000,45000000,45000000,1970
176,5314,1972-08-30,The Last House on the Left,87000,3100000,3100000,1970
177,4239,1972-09-11,1776,4000000,0,0,1970
178,4548,1972-11-08,Everything You Always Wanted to Know,2000000,18016290,18016290,1970
179,4665,1973-01-01,Battle for the Planet of the Apes,1800000,8800000,8800000,1970
180,4106,1973-05-23,Pat Garrett and Billy the Kid,4638783,11000000,8000000,1970
181,3714,1973-06-27,Live and Let Die,7000000,161800000,35400000,1970
182,3926,1973-08-22,High Plains Drifter,5500000,15700000,15700000,1970
183,4994,1973-11-08,American Graffiti,777000,140000000,115000000,1970
184,4547,1973-12-17,Sleeper,2000000,18344729,18344729,1970
185,3921,1973-12-25,The Sting,5500000,159616327,159616327,1970
186,3121,1973-12-26,The Exorcist,12000000,400214478,202347346,1970
187,4458,1974-01-01,Blazing Saddles,2600000,119500000,119500000,1970
188,3720,1974-03-29,The Great Gatsby,7000000,26533200,26533200,1970
189,4696,1974-07-04,The Conversation,1600000,4420000,4420000,1970
190,5280,1974-10-18,The Texas Chainsaw Massacre,140000,26572439,26572439,1970
191,3038,1974-11-12,The Godfather: Part II,13000000,57300000,57300000,1970
192,5049,1974-11-15,Benji,500000,31559560,31559560,1970
193,4442,1974-12-15,Young Frankenstein,2800000,86300000,86300000,1970
194,2961,1974-12-17,Towering Inferno,14000000,139700000,116000000,1970
195,4176,1974-12-17,The Front Page,4000000,15000000,15000000,1970
196,3726,1974-12-20,The Man with the Golden Gun,7000000,97600000,21000000,1970
197,3261,1975-01-01,Barry Lyndon,11000000,20169934,20000000,1970
198,5176,1975-01-04,Death Race 2000,300000,0,0,1970
199,3968,1975-05-16,The Return of the Pink Panther,5000000,41833347,41833347,1970
200,3120,1975-06-20,Jaws,12000000,470700000,260000000,1970
201,4791,1975-09-26,The Rocky Horror Picture Show,1200000,140556781,140510017,1970
202,5125,1975-10-05,Monty Python and the Holy Grail,400000,5028948,3427696,1970
203,4344,1975-10-06,Love and Death,3000000,20123742,20123742,1970
204,4145,1975-11-19,One Flew Over the Cuckoo's Nest,4400000,108981275,108981275,1970
205,3723,1976-01-01,Logan's Run,7000000,25000000,25000000,1970
206,4251,1976-01-01,Network,3800000,23689877,23689877,1970
207,4805,1976-01-01,The Blue Bird,1200000,887000,887000,1970
208,4146,1976-06-25,Silent Movie,4400000,36145695,36145695,1970
209,4443,1976-06-25,The Omen,2800000,48570885,48570885,1970
210,4844,1976-08-02,Taxi Driver,1000000,28316211,28262574,1970
211,4353,1976-09-04,Family Plot,3000000,13200000,13200000,1970
212,4025,1976-11-03,Robin and Marian,5000000,8000000,8000000,1970
213,4661,1976-11-16,Carrie,1800000,25878153,25878153,1970
214,4840,1976-11-21,Rocky,1000000,225000000,117235147,1970
215,2202,1976-12-17,King Kong,23000000,90614445,52614445,1970
216,5051,1977-01-01,Kingdom of the Spiders,500000,17000000,17000000,1970
217,5297,1977-01-01,Eraserhead,100000,7012524,7000000,1970
218,3326,1977-03-11,Pete’s Dragon,10000000,36000000,36000000,1970
219,4165,1977-04-20,Annie Hall,4000000,38251425,38251425,1970
220,3765,1977-05-08,March or Die,7000000,1000000,1000000,1970
221,3239,1977-05-25,Star Wars Ep. IV: A New Hope,11000000,786598007,460998007,1970
222,1978,1977-06-15,A Bridge Too Far,26000000,50800000,50800000,1970
223,2980,1977-06-17,Exorcist II: The Heretic,14000000,25011000,25011000,1970
224,2989,1977-06-22,"New York, New York",14000000,13800000,13800000,1970
225,2278,1977-06-24,Sorcerer,21600000,12000000,12000000,1970
226,2969,1977-07-13,The Spy Who Loved Me,14000000,185400000,46800000,1970
227,5028,1977-10-08,The Kentucky Fried Movie,600000,20000000,15000000,1970
228,2713,1977-10-21,Damnation Alley,17000000,0,0,1970
229,2309,1977-11-16,Close Encounters of the Third Kind,20000000,337700000,166000000,1970
230,4304,1977-12-23,High Anxiety,3400000,31063038,31063038,1970
231,3009,1978-01-01,Caravans,14000000,1000000,1000000,1970
232,3165,1978-01-01,The Boys from Brazil,12000000,19000000,19000000,1970
233,4338,1978-01-01,Coming Home,3000000,32653000,32653000,1970
234,3260,1978-04-13,F.I.S.T,11000000,20388920,20388920,1970
235,2318,1978-06-16,Jaws 2,20000000,208900376,102922376,1970
236,3828,1978-06-16,Grease,6000000,387513770,181813770,1970
237,2798,1978-06-28,Heaven Can Wait,15000000,98800000,98800000,1970
238,4330,1978-07-28,National Lampoon's Animal House,3000000,141600000,141600000,1970
239,4382,1978-09-13,Days of Heaven,3000000,3660880,3446749,1970
240,5153,1978-10-17,Halloween,325000,70000000,47000000,1970
241,2186,1978-10-24,The Wiz,24000000,13000000,13000000,1970
242,912,1978-12-15,Superman,55000000,300200000,134218018,1970
243,4026,1978-12-22,Force 10 from Navarone,5000000,7100000,7100000,1970
244,2814,1979-01-01,The Deer Hunter,15000000,50000000,50000000,1970
245,3885,1979-02-02,The First Great Train Robbery,6000000,391942,391942,1970
246,4717,1979-04-20,Dawn of the Dead,1500000,55000000,5100000,1970
247,3106,1979-05-25,The Prisoner of Zenda,12500000,7000000,7000000,1970
248,3510,1979-05-25,Alien,9000000,203630630,80930630,1970
249,3160,1979-06-15,Prophecy,12000000,22673340,22673340,1970
250,3598,1979-06-22,The Muppet Movie,8000000,76657000,76657000,1970
251,3604,1979-06-22,Escape from Alcatraz,8000000,43000000,43000000,1970
252,1696,1979-06-29,Moonraker,31000000,210300000,70300000,1970
253,5266,1979-06-30,Dolphin,170000,14000,14000,1970
254,3573,1979-07-11,The Rose,8500000,29200000,29200000,1970
255,1521,1979-07-12,Star Trek: The Motion Picture,35000000,139000000,82258456,1970
256,1691,1979-08-15,Apocalypse Now,31500000,81250488,78800000,1970
257,4173,1979-08-17,The Life of Brian,4000000,20008693,20008693,1970
258,4449,1979-10-17,The Black Stallion,2700000,37799643,37799643,1970
259,2759,1979-10-19,Meteor,16000000,8400000,8400000,1970
260,1676,1979-12-14,1941,32000000,94875000,34175000,1970
261,2361,1979-12-21,The Black Hole,20000000,35841901,35841901,1970
262,1624,1980-01-01,Lion of the Desert,35000000,1500000,1500000,1980
263,3805,1980-01-01,Dressed to Kill,6500000,31899000,31899000,1980
264,4279,1980-01-01,Terror Train,3500000,8000000,8000000,1980
265,5144,1980-01-01,Maniac,350000,10000000,10000000,1980
266,4846,1980-01-02,The Fog,1000000,21378361,21378361,1980
267,1414,1980-01-08,Raise the Titanic,40000000,7000000,7000000,1980
268,3952,1980-03-10,Somewhere in Time,5100000,9709597,9709597,1980
269,3977,1980-03-10,The Elephant Man,5000000,26010864,26010864,1980
270,5229,1980-03-21,Mad Max,200000,99750000,8750000,1980
271,4264,1980-04-07,Airplane!,3500000,83453539,83453539,1980
